

Time (s)	Laser Channel	Temperature	Aux In	
0.003000	88.000000	0.002646	0.000000
0.008000	88.000000	0.002724	0.000000
0.013000	88.000000	-0.006203	0.000000
0.018000	88.000000	-0.002406	0.000000
0.023000	88.000000	-0.001167	0.000000
0.028000	88.000000	0.002723	0.000000
0.033000	88.000000	7.831063E-5	0.000000
0.038000	88.000000	0.010345	0.000000
0.043000	88.000000	0.002815	0.000000
0.048000	88.000000	-0.001248	0.000000
0.053000	88.000000	0.007863	0.000000
0.058000	88.000000	0.005207	0.000000
0.063000	88.000000	0.002814	0.000000
0.068000	88.000000	-0.002318	0.000000
0.073000	88.000000	0.014327	0.000000
0.078000	88.000000	0.001399	0.000000
0.083000	88.000000	0.001574	0.000000
0.088000	88.000000	-0.010011	0.000000
0.093000	88.000000	-0.001167	0.000000
0.098000	88.000000	0.000243	0.000000
0.103000	88.000000	-0.003647	0.000000
0.108000	88.000000	-0.004802	0.000000
0.113000	88.000000	0.002559	0.000000
0.118000	88.000000	0.009185	0.000000
0.123000	88.000000	0.003965	0.000000
0.128000	88.000000	-0.007448	0.000000
0.133000	88.000000	0.010340	0.000000
0.138000	88.000000	0.007859	0.000000
0.143000	88.000000	0.002724	0.000000
0.148000	88.000000	0.006630	0.000000
0.153000	88.000000	-0.002321	0.000000
0.158000	88.000000	0.003967	0.000000
0.163000	88.000000	-0.007369	0.000000
0.168000	88.000000	-0.003646	0.000000
0.173000	88.000000	0.004049	0.000000
0.178000	88.000000	0.003880	0.000000
0.183000	88.000000	0.002808	0.000000
0.188000	88.000000	0.004054	0.000000
0.193000	88.000000	0.000242	0.000000
0.198000	88.000000	-0.004795	0.000000
0.203000	88.000000	-0.002482	0.000000
0.208000	88.000000	-0.000999	0.000000
0.213000	88.000000	0.002724	0.000000
0.218000	88.000000	0.005291	0.000000
0.223000	88.000000	0.003966	0.000000
0.228000	88.000000	-0.001161	0.000000
0.233000	88.000000	0.005388	0.000000
0.238000	88.000000	0.001399	0.000000
0.243000	88.000000	7.339496E-5	0.000000
0.248000	88.000000	0.006459	0.000000
0.253000	88.000000	-0.006208	0.000000
0.258000	88.000000	-0.004965	0.000000
0.263000	88.000000	0.005296	0.000000
0.268000	88.000000	0.001574	0.000000
0.273000	88.000000	0.000242	0.000000
0.278000	88.000000	-0.002314	0.000000
0.283000	88.000000	-0.006124	0.000000
0.288000	88.000000	0.005374	0.000000
0.293000	88.000000	7.448812E-5	0.000000
0.298000	88.000000	7.940580E-5	0.000000
0.303000	88.000000	0.002725	0.000000
0.308000	88.000000	0.003972	0.000000
0.313000	88.000000	0.007862	0.000000
0.318000	88.000000	-0.006123	0.000000
0.323000	88.000000	-0.006128	0.000000
0.328000	88.000000	-0.004791	0.000000
0.333000	88.000000	-0.008611	0.000000
0.338000	88.000000	0.000244	0.000000
0.343000	88.000000	-0.003728	0.000000
0.348000	88.000000	-0.000990	0.000000
0.353000	88.000000	0.005292	0.000000
0.358000	88.000000	0.004137	0.000000
0.363000	88.000000	0.005290	0.000000
0.368000	88.000000	-0.004875	0.000000
0.373000	88.000000	0.005291	0.000000
0.378000	88.000000	0.002728	0.000000
0.383000	88.000000	0.000159	0.000000
0.388000	88.000000	0.007858	0.000000
0.393000	88.000000	-0.002322	0.000000
0.398000	88.000000	-0.010095	0.000000
0.403000	88.000000	0.000159	0.000000
0.408000	88.000000	0.007773	0.000000
0.413000	88.000000	0.014243	0.000000
0.418000	88.000000	0.004050	0.000000
0.423000	88.000000	0.005207	0.000000
0.428000	88.000000	-0.002487	0.000000
0.433000	88.000000	0.005292	0.000000
0.438000	88.000000	0.001484	0.000000
0.443000	88.000000	-0.008610	0.000000
0.448000	88.000000	0.005296	0.000000
0.453000	88.000000	0.004050	0.000000
0.458000	88.000000	-0.001081	0.000000
