t (us),volts
44.1992,0.0634375
44.2,0.05346875
44.2008,0.06071875
44.2016,0.03715625
44.2024,0.04984375
44.2032,0.06253125
44.204,0.04621875
44.2048,0.047125
44.2056,0.05165625
44.2064,0.039875
44.2072,0.06434375
44.208,0.0561875
44.2088,0.06978125
44.2096,0.061625
44.2104,0.08428125
44.2112,0.0725
44.212,0.06615625
44.2128,0.087
44.2136,0.06071875
44.2144,0.05165625
44.2152,0.061625
44.216,0.04259375
44.2168,0.06615625
44.2176,0.06253125
44.2184,0.05075
44.2192,0.0706875
44.22,0.06525
44.2208,0.0706875
44.2216,0.06434375
44.2224,0.07975
44.2232,0.0670625
44.224,0.06525
44.2248,0.068875
44.2256,0.06434375
44.2264,0.06253125
44.2272,0.06796875
44.228,0.076125
44.2288,0.0706875
44.2296,0.0489375
44.2304,0.06978125
44.2312,0.0380625
44.232,0.04621875
44.2328,0.07703125
44.2336,0.06978125
44.2344,0.039875
44.2352,0.02990625
44.236,0.06615625
44.2368,0.06253125
44.2376,0.07159375
44.2384,0.07159375
44.2392,0.054375
44.24,0.05709375
44.2408,0.076125
44.2416,0.03353125
44.2424,0.06434375
44.2432,0.054375
44.244,0.054375
44.2448,0.06615625
44.2456,0.05890625
44.2464,0.068875
44.2472,0.09334375
44.248,0.05528125
44.2488,0.0743125
44.2496,0.0670625
44.2504,0.0670625
44.2512,0.05528125
44.252,0.0779375
44.2528,0.083375
44.2536,0.04440625
44.2544,0.05890625
44.2552,0.0525625
44.256,0.0525625
44.2568,0.06615625
44.2576,0.04984375
44.2584,0.06796875
44.2592,0.08246875
44.26,0.09153125
44.2608,0.0435
44.2616,0.083375
44.2624,0.07975
44.2632,0.0525625
44.264,0.06615625
44.2648,0.07340625
44.2656,0.0344375
44.2664,0.047125
44.2672,0.03534375
44.268,0.047125
44.2688,0.0380625
44.2696,0.05528125
44.2704,0.04440625
44.2712,0.04621875
44.272,0.06978125
44.2728,0.03353125
44.2736,0.08971875
44.2744,0.0743125
44.2752,0.07340625
44.276,0.05890625
44.2768,0.0561875
44.2776,0.0743125
44.2784,0.04803125
44.2792,0.04984375
44.28,0.06434375
44.2808,0.05709375
44.2816,0.054375
44.2824,0.07884375
